Family Species Size Temperature NPP Aridity pH
Porcellionidae Porcellio alticola 1.204 12.3 11.63 0.93 4.6 
Porcellionidae Porcellio angustulus 0.477 14.6 10.99 0.43 8.0 
Porcellionidae Porcellio barroisi 1.161 17.9 11.10 0.27 8.0 
Porcellionidae Porcellio bolivari 1.230 16.6 11.08 0.39 7.5 
Porcellionidae Porcellio chilensis 1.114 12.2 11.43 0.45 7.0 
Porcellionidae Porcellio chuldahensis 1.079 17.7 11.38 0.38 7.0
Porcellionidae Porcellio cilicius 1.114 17.1 11.19 0.47 7.0 
Porcellionidae Porcellio colasi 0.929 16.8 11.07 0.48 7.1 
Porcellionidae Porcellio curti 1.255 6.7 11.09 0.53 8.0 
Porcellionidae Porcellio debueni 1.301 14.7 11.55 0.90 6.0 
Porcellionidae Porcellio deganiensis 1.204 17.2 11.20 0.35 8.0 
Porcellionidae Porcellio dilatatus 1.253 8.0 11.39 0.99 6.0 
Porcellionidae Porcellio dispar 1.301 15.3 11.55 0.87 6.0 
Porcellionidae Porcellio duboscqui 1.322 12.5 11.51 0.81 7.0 
Porcellionidae Porcellio epirensis 1.146 12.0 11.49 1.06 7.0 
Porcellionidae Porcellio evansi 1.230 22.4 10.57 0.08 8.0 
Porcellionidae Porcellio ficulneus 1.279 20.1 11.45 0.42 7.0 
Porcellionidae Porcellio gallicus 1.114 10.1 11.58 0.94 7.0 
Porcellionidae Porcellio hoffmannseggii 1.079 16.3 11.39 0.48 7.0 
Porcellionidae Porcellio humberti 1.041 16.3 11.07 0.26 7.0
Porcellionidae Porcellio incanus 1.204 13.2 11.55 0.91 6.0
Porcellionidae Porcellio inconspicuus 1.041 17.6 10.57 0.15 8.0 
Porcellionidae Porcellio insignis 1.204 17.2 10.95 0.19 8.0 
Porcellionidae Porcellio klaptoczi 0.756 19.8 10.53 0.12 8.0 
Porcellionidae Porcellio laevis 1.233 9.9 11.39 0.77 7.0 
Porcellionidae Porcellio lamellatus 0.778 13.8 11.46 0.71 7.0 
Porcellionidae Porcellio lepineyi 1.146 15.0 10.91 0.20 7.0 
Porcellionidae Porcellio magnificus 1.255 16.8 11.07 0.48 7.1 
Porcellionidae Porcellio marginenotatus 0.875 14.3 11.33 0.53 8.0
Porcellionidae Porcellio monardi 0.845 26.4 11.66 0.80 6.0
Porcellionidae Porcellio montanus 1.114 8.0 11.51 1.15 6.0 
Porcellionidae Porcellio monticola 1.190 10.4 11.54 0.87 6.5 
Porcellionidae Porcellio narentanus 1.041 8.2 11.60 0.98 5.8 
Porcellionidae Porcellio nigrogranulatus 0.954 16.3 11.20 0.41 8.0
Porcellionidae Porcellio obsoletus 1.301 14.3 11.37 0.54 7.0 
Porcellionidae Porcellio olivieri 1.322 19.2 10.78 0.15 8.0 
Porcellionidae Porcellio orarum 1.415 11.5 11.61 0.92 6.0 
Porcellionidae Porcellio palaestinus 1.279 17.3 10.77 0.25 8.0 
Porcellionidae Porcellio parenzani 1.021 11.3 11.44 1.15 7.0 
Porcellionidae Porcellio piceus 1.079 9.8 11.55 0.72 6.5 
Porcellionidae Porcellio platysoma 1.146 16.8 11.31 0.51 8.0 
Porcellionidae Porcellio provincialis 1.041 12.3 11.63 0.93 6.0 
Porcellionidae Porcellio pseudocilicius 1.079 16.8 11.18 0.51 7.0 
Porcellionidae Porcellio puberulus 1.248 8.2 11.60 0.98 5.8 
Porcellionidae Porcellio pyrenaeus 1.079 12.5 11.54 0.83 7.0
Porcellionidae Porcellio romanorum 1.279 13.2 11.60 0.86 7.0 
Porcellionidae Porcellio scaber 1.130 8.2 11.40 0.96 6.0 
Porcellionidae Porcellio simulator 0.929 17.6 11.12 0.36 8.0 
Porcellionidae Porcellio spinicornis 1.176 7.5 11.36 1.05 6.0 
Porcellionidae Porcellio spinipennis 1.322 10.7 11.55 0.91 7.0 
Porcellionidae Porcellio succinctus 1.398 16.6 11.08 0.39 7.5 
Porcellionidae Porcellio tripolitanus 1.146 19.4 10.92 0.13 7.8 
Porcellionidae Porcellio violaceus 1.114 12.6 11.49 0.77 7.0 
